Category;WordPhrase;Transcription;Translate;Example;CreateDate
Dictionary;accuracy;;правильность, соответствие, точность;weapons that could fire with accuracy at target 3,000 yards away — орудия, точно поражающие цель на расстоянии 3000 ярдов;28.11.2015
Dictionary;accurate;[ˈækjərət];верный, правильный, точный;accurate discription — точное описание;28.11.2015
Dictionary;accurately;;точно, безошибочно, аккуратно;The test can accurately predict what a bigger explosion would do. — Тест может точно предсказать, что произойдет при более мощном взрыве.;28.11.2015
Dictionary;accuse;[əˈkjuːz];винить, обвинять (кого-л., of - в чем-л.);to accuse smb. of smth. — обвинять кого-л. в чём-л;28.11.2015
Dictionary;accustom;;приучать, делать знакомым, привычным (to);to accustom oneself to — приучать себя к чему-л., привыкать, приучаться;28.11.2015
Dictionary;achieve;;добиваться, достигать;There are many who will work hard to achieve these goals. — Многие приложат все усилия, чтобы достичь этой цели.;28.11.2015
Dictionary;achievement;;достижение, успех (в чем-л. - in);crowning achievement — главное достижение;28.11.2015
Dictionary;acquire;;обзаводиться, приобретать, покупать;to acquire friends — приобрести друзей;28.11.2015
Dictionary;acquired;;благоприобретенный;acquired character биол. — приобретённые свойства;28.11.2015
Dictionary;active;;активный, живой, деятельный, инициативный (а не пассивно наблюдающий или воспринимающий что-л.);Having an active youngster about the house can be quite wearing. — Иметь в доме живого (непоседливого) мальчика бывает весьма утомительно.;28.11.2015
Dictionary;adapt;;приспосабливать, пригонять, прилаживать (to, for);Shelves were built to adapt the library for use as an office. — Полки были перестроены так, чтобы приспособить библиотеку под офис.;28.11.2015
Dictionary;adequately;;в достаточной мере;;28.11.2015
Dictionary;adjust;;приводить в порядок;Four were named on each side to adjust their differences. — С каждой стороны были названы четверо, чтобы уладить разногласия.;28.11.2015
Dictionary;admission;;допущение, принятие, прием (в учебное заведение, клуб, общество и т. п.);advanced standing admission — прием на основании успехов (о приеме студента в учебное заведение);28.11.2015
Dictionary;admit;;допускать, соглашаться;to admit oneself beaten — признавать себя побежденным;28.11.2015
Dictionary;adopt;;усыновлять, удочерять, принимать;They adopted the child as their heir. — Они признали ребенка своим наследником.;28.11.2015
Dictionary;advance;;движение вперед, продвижение;Our troops made an advance against the enemy. — Наши войска наступали на врага.;28.11.2015
Dictionary;advantage;;преимущество (over smb - над кем-либо);unfair advantage — незаслуженное преимущество;28.11.2015
Dictionary;adversary;;противник, враг, антагонист, неприятель, соперник;formidable adversary — грозный соперник, страшный соперник;28.11.2015
Dictionary;advertise;;помещать объявление;They advertised that a position was open. — Они дали объявление, что место свободно.;28.11.2015
Dictionary;advisable;;достойный быть рекомендованным, предложенным (особенно для практических целей), целесообразный, разумный;It was advisable to leave immediately. — Было разумно / целесообразно / желательно уехать немедленно.;28.11.2015
Dictionary;advise;;советовать, консультировать;She advised us that we should leave. — Она посоветовала нам уехать.;28.11.2015
Dictionary;affect;;аффект;The terms affect and affective denote the emotional-conative aspect of all mental activity. — Термины аффект и аффективный выражают эмоционально-конативный аспект ментальной деятельности в целом.;28.11.2015
Dictionary;aim;;намерение, цель;to achieve one's aim — достигнуть поставленной цели;28.11.2015
Dictionary;alive;;живой, в живых;no man alive — никто на свете;28.11.2015
Dictionary;allocate;;назначать, распределять;The dean allocated the funds to several students. — Декан назначил денежные выплаты нескольким студентам.;28.11.2015
Dictionary;allow;;позволять, разрешать;Smoking is not allowed. — Курить воспрещается.;28.11.2015
Dictionary;allowance;;денежное пособие, денежное содержание;grant an allowance — предоставить содержание;28.11.2015
Dictionary;alone;;единственный, один, одинокий, одиночный;The boy can do it alone. — Мальчик может это сделать без посторонней помощи.;28.11.2015
Dictionary;aloud;;вслух;;28.11.2015
Dictionary;also;;тоже, также, к тому же;;28.11.2015
Dictionary;alternating;;перемежающийся, переменный;;28.11.2015
Dictionary;amateurish;[ˈæmət(ə)rɪʃ];дилетантский, любительский, непрофессиональный, неумелый;;28.11.2015
Dictionary;ambiguity;;неопределённость, неясность, двусмысленность;to clear up, remove an ambiguity — устранить неясность, двусмысленность;28.11.2015
Dictionary;amendment;;поправка (к резолюции, законопроекту);amendment to the constitution — поправка к конституции;28.11.2015
Dictionary;analyse;;анализировать, исследовать, разбирать;We haven't had time to analyse those samples yet. — У нас ещё не было времени проанализировать эти образцы.;28.11.2015
Dictionary;analysis;;анализ, изучение, исследование;careful, thorough analysis — подробный анализ, серьезное исследование;28.11.2015
Dictionary;ancestor;;прародитель, предок;common ancestor — общий предок;28.11.2015
Dictionary;ancient;;древний, старинный, старый;He presently returned with a very ancient-looking bottle. — Вскоре он вернулся со старинной бутылкой в руках.;28.11.2015
Dictionary;animated;;анимированный (созданный средствами мультипликации);animated cartoon — мультипликация;28.11.2015
Dictionary;anniversary;;годовщина, юбилей;to celebrate, commemorate anniversary — отмечать юбилей, отмечать годовщину какого-л. события;28.11.2015
Dictionary;antagonistic;;антагонистический, антагонистичный, противоположный, враждебный;;28.11.2015
Dictionary;antipathy;;антипатия, нерасположение, неприязнь, отвращение (to, towards);to feel (an) antipathy — испытывать отвращение, чувствовать антипатию;28.11.2015
Dictionary;antique;;древняя или старинная вещь, антикварная вещь;antiques shop — антикварный магазин;28.11.2015
Dictionary;apparent;;видимый, видный;apparent to the naked eye — видимый невооруженным глазом;28.11.2015
Dictionary;applicable;;применимый, подходящий, пригодный;the rule applicable to both verbs and nouns — правило, применяющееся как к глаголам, так и к существительным;28.11.2015
Dictionary;apply;;обращаться с просьбой, заявлением (особ. в письменной форме, for - за чем-л., to - к кому-л.);We applied to the authorities for assistance. — Мы обратились к властям за помощью.;28.11.2015
Dictionary;appointment;;назначение (на должность, место);midnight appointment — амер., полит. назначение под занавес;28.11.2015
Dictionary;appreciate;;оценивать, (высоко) ценить, быть признательным, благодарным;to appreciate deeply, greatly, keenly, sincerely, very much — высоко ценить кого-л., что-л.;28.11.2015
Dictionary;apprehend;;понимать, постигать, разгадывать, схватывать;To apprehend distinctly the signification of a number, two things are necessary. — Чтобы четко понять, что означает категория числа, необходимо наличие как минимум двух объектов.;28.11.2015
Dictionary;approach;;приближение, наступление;too near approaches to fire — слишком близкое приближение к огню;28.11.2015
Dictionary;appropriate;;подходящий, соответствующий (to, for);The forgiveness of sins and justifying is appropriate to faith only. — Прощение грехов и справедливость свойственны только вере.;28.11.2015
Dictionary;approve;;одобрять (что-л. - of);to approve of smb.'s plan (behaviour, answer, etc.) — одобрить чей-л. план (поведение, ответ и т. п.);28.11.2015
Dictionary;approximate;;лежащий рядом, близкий, находящийся близко (to - к);approximate value мат. — приближенное значение;28.11.2015
Dictionary;arena;;арена;the political arena — политическая арена;28.11.2015
Dictionary;argue;;спорить (with - с кем-л., about - о чем-л.);to argue logically — приводить логичные аргументы во время спора;28.11.2015
Dictionary;arrange;;приводить в порядок, расставлять;to arrange smb.'s papers — приводить в порядок чьи-л. бумаги;28.11.2015
Dictionary;assemble;;вызывать, призывать, созывать;We will let you have the report as soon as we have assembled all the data. — Мы передадим вам отчет, как только соберем всю необходимую информацию.;28.11.2015
Dictionary;assistance;;поддержка, помощь, поощрение, содействие;to render (give, offer, provide) assistance — оказывать помощь;28.11.2015
Dictionary;assume;;принимать, брать на себя (ответственность, управление и т. п.)                                                        допускать, предполагать;Mr. M. has been assumed as a Partner in the Edinburgh Branch of the Bank. — Мистер М. был принят в качестве партнера в эдинбургское отделение банка.;28.11.2015
Dictionary;astonish;;изумлять, поражать, удивлять;to be astonished at smb.'s conduct (manners, determination, etc.) — удивляться / изумляться чьему-л. поведению (манерам, решимости и т. п.);28.11.2015
Dictionary;astonishing;;изумительный, ошеломительный, поразительный, удивительный;It was astonishing to watch them perform. — Они выступали поразительно (хорошо).;28.11.2015
Dictionary;attach;;прикреплять (клеем и т. п.), прилагать, прикладывать (to), прикреплять, связывать (о чем-л. нематериальном);to attach a label to a package — прикрепить наклейку на пакет;28.11.2015
Dictionary;attempt;;попытка, проба, опыт;to make an attempt — сделать попытку;28.11.2015
Dictionary;attract;;привлекать, притягивать;Anything with strong gravity attracts other things to it. — Любое тело с большой массой притягивает к себе другие.;28.11.2015
Dictionary;authority;;власть (for, over) (исконное значение право требовать подчинения);to assume authority — взять власть;28.11.2015
Dictionary;available;;доступный, имеющийся в распоряжении, наличный;easily, readily available — легкодоступный;28.11.2015
Dictionary;avert;;отводить (взгляд, от - from);He averted his face. — Он отвернулся.;28.11.2015
Dictionary;avoid;;избегать, остерегаться, сторониться, уклоняться;to avoid the world — скрываться от людей;28.11.2015
Dictionary;avoidance;;избежание, уклонение;There was no public avoidance of the excommunicated King. — Общество не избегало отлученного от церкви короля.;28.11.2015
Dictionary;award;;присуждение (награды, премии);award of pension — назначение пенсии;28.11.2015
Dictionary;aware;;знающий, осведомленный, сведущий, сознающий;keenly (painfully, very much) aware — хорошо осведомленный, в высшей степени компетентный;28.11.2015
Dictionary;babyish;;детский, ребяческий;;28.11.2015
Dictionary;beastly;['biːstlɪ];прил. животный, грубый, противный, ужасный;животный, грубый the beastly opinion of the mortality of the soul — примитивная точка зрения на смертность души 2) противный, ужасный beastly weather — отвратительная погода The second major item was of equally beastly complexity. — Второй важный вопрос был так же ужасно сложен;28.11.2015
Dictionary;beat up;;вбивать, смешать взбивая (яйца и т. п.);The boys robbed the old man and beat him up. — Хулиганы ограбили старика и избили его.;28.11.2015
Dictionary;behave;;вести себя, поступать, держаться;to behave oneself — вести себя хорошо;28.11.2015
Dictionary;belief;;вера, доверие (in);it staggers belief — этому трудно поверить;28.11.2015
Dictionary;believe;;верить;we soon believe what we desire — мы охотно принимаем желаемое за действительное;28.11.2015
Dictionary;belong;;подходить, соответствовать, сочетаться;a dictionary belongs in every home — словарь подходит для любого дома;28.11.2015
Dictionary;blame;;порицание, неодобрение, осуждение, упрек;to ascribe, assign, attribute (the) blame to smb. — возложить вину на кого-л.;28.11.2015
Dictionary;blast;;связано с движением воздуха;It was a great party - we had a real blast. — Вечеринка была потрясающей. Мы оттянулись по полной программе.;28.11.2015
Dictionary;blaze;;яркий огонь, пламя;in a blaze — в огне;28.11.2015
Dictionary;blow away;;сдувать;Quick, patch my hat before it blows away! — Хватайте шляпу, пока ее не унесло!;28.11.2015
Dictionary;boob;;болван, олух, дуралей;;28.11.2015
Dictionary;borrow;;занимать, брать на время (of, from - у кого-л.);You could borrow some money from your uncle without paying interest. — Ты можешь занять денег у дяди, и ему не надо платить проценты.;28.11.2015
Dictionary;break up;;крошиться на мелкие части, вскрываться (о реке);In spring the ice on the Great Lakes breaks up. — Весной лёд на Великих Озерах вскрывается.;28.11.2015
Dictionary;breakdown;;полный упадок сил, здоровья;nervous breakdown — нервное расстройство, поражение нервной системы;28.11.2015
Dictionary;briefly;;коротко, кратко, сжато;;28.11.2015
Dictionary;bring about;;осуществлять;By his own efforts, Charles Fax brought about the fall of the government. — Чарльз Факс своей собственной деятельностью заставил правительство подать в отставку.;28.11.2015
Dictionary;bring in;;вводить, вносить, приносить;Bring the washing in, it's raining. — Забери белье домой, пошел дождь.;28.11.2015
Dictionary;budget;;бюджет, финансовая смета;to draw up a budget — составлять финансовую смету;28.11.2015
Dictionary;burglar;;вор-взломщик, ночной грабитель;cat burglar — тихий вор;28.11.2015
Dictionary;burst;;взрыв, разрыв (снаряда), пулеметная очередь;burst of a bomb — взрыв бомбы;28.11.2015
Dictionary;bury;;хоронить, зарывать в землю;to have buried one's relatives — потерять, похоронить близких;28.11.2015
Dictionary;by accident;;случайно, нечаянно;to have an accident — потерпеть аварию, крушение, попасть в катастрофу;28.11.2015
Dictionary;by then;;к тому времени;;28.11.2015
Dictionary;calmly;;спокойно, хладнокровно, невозмутимо;;28.11.2015
Dictionary;cancellation;;аннулирование, отмена, расторжение;;28.11.2015
Dictionary;cancer;;мед. рак;to develop cancer — заболевать раком;28.11.2015
Dictionary;capacity;;вместимость, емкость (любая, напр., конденсатора), объем (в частности, суммарный объем цилиндров в двигателе внутреннего сгорания);storage capacity — вместимость хранилища;28.11.2015
Dictionary;capital;;капитал, состояние, накопления, сбережения;to borrow capital — брать взаймы;28.11.2015
Dictionary;capture;;захват, задержание, поимка, добыча;The guerrillas shot down one aeroplane and captured the pilot. — Партизаны сбили самолет и захватили летчика.;28.11.2015
Dictionary;care;;забота, уход (медицинский);to entrust smb. to smb.'s care, to put smb. in smb.'s care — доверить кого-л. чьим-л. заботам;28.11.2015
Dictionary;careless;;небрежный, неаккуратный, невнимательный, неосторожный;It was careless of you to leave the door unlocked. — Ты поступила легкомысленно, оставив дверь незапертой.;28.11.2015
Dictionary;carelessly;;небрежно, халатно, невнимательно, без должной заботы, кое-как;;28.11.2015
Dictionary;carelessness;;недобросовестность, нерадивость, небрежность, халатность, невнимание, невнимательность;;28.11.2015
Dictionary;cargo;;груз;to carry, haul cargo — перевозить грузы;28.11.2015
Dictionary;carry on;;продолжать, вести (дело);Carry on! — Так держать! Продолжайте в том же духе!;28.11.2015
Dictionary;carry out;;производить, выполнять, совершать, осуществлять, доводить до конца;to carry out in(to) practice — осуществлять, проводить в жизнь;28.11.2015
Dictionary;casual;;случайный, бессистемный, нерегулярный;casual labourer, casual worker — рабочий, не имеющий постоянной работы;28.11.2015
Dictionary;categorical;;безусловный, категорический, безоговорочный, ясный;categorical denial — категоричное отрицание;28.11.2015
Dictionary;category;;категория, разряд, вид, класс, род;to establish, set up a category — установить категорию;28.11.2015
Dictionary;census;;перепись, сбор сведений;;28.11.2015
Dictionary;central;;главный, руководящий, центральный;central authority — центральные власти;28.11.2015
Dictionary;certain;;точный, определенный;I have no certain abode — у меня нет определенного пристанища;28.11.2015
Dictionary;certified;;заверенный, удостоверенный, подтвержденный;certified securities — гарантированные ценные бумаги;28.11.2015
Dictionary;certify;;удостоверять, заверять, подтверждать;This is to certify that... — Настоящим подтверждается, что...;28.11.2015
Dictionary;character;;буква, иероглиф, цифра, письмо, знак, символ, клеймо, личность, фигура;to form, trace, write characters — тщательно выписывать буквы, цифры, иероглифы;28.11.2015
Dictionary;characterize;;изображать, характеризовать, описывать, рисовать (человека или предмет);You have characterized him as ambitious person. — Вы описали его как честолюбивого человека.;28.11.2015
Dictionary;charity;;милосердие, милость, проявление милости (по отношению к кому-либо);to dispense, distribute, give charity to — подавать милостыню;28.11.2015
Dictionary;charming;;очаровательный, прелестный;she is charming to everyone — она со всеми любезна;28.11.2015
Dictionary;chore;;рутинная работа;The Ministry of Education hopes to free the teachers from some of their chores. — Министерство образования надеется освободить учителей от некоторых их рутинных обязанностей.;28.11.2015
Dictionary;circumstance;;обстоятельство, случай, условие;The weather is a circumstance to be taken into consideration. — Погода - это то обстоятельство, которое должно быть принято во внимание.;28.11.2015
Dictionary;clarify;;очищать, делать чистым / прозрачным (жидкость или воздух);to clarify the popular creed — разъяснить популярное учение, сделать понятным популярное учение;28.11.2015
Dictionary;clause;;статья, пункт, условие, параграф, пункт, оговорка, клаузула (договорного документа);to include a clause — вносить оговорку (в договор);28.11.2015
Dictionary;clean up;;прибирать, приводить в порядок;This room needs cleaning up. — В комнате надо прибраться.;28.11.2015
Dictionary;cling;;цепляться, прилипать, крепко держаться;his fisher's coat dripping wet and clinging to his form — его плащ для рыбной ловли, промокший и липнущий к телу;28.11.2015
Dictionary;clothe;;одевать (кого-л.), надевать (что-л.);I like to clothe the children in pure cotton, it's so healthy. — Я бы хотел, чтобы дети носили чистый хлопок, это лучше для здоровья.;28.11.2015
Dictionary;coefficient;;коэффициент, показатель;correlation coefficient — коэффициент корреляции;28.11.2015
Dictionary;coincide;;совпадать, совмещаться (о точках, линиях и других геометрических объектах);This point should coincide with the centre of gravity of the wheel. — Эта точка должна совпасть с центром тяжести колеса.;28.11.2015
Dictionary;collaboration;;сотрудничество, участие, совместная работа (особ. в литературе, искусстве, науке);collaboration with Nazi Germany — сотрудничество с нацистами;28.11.2015
Dictionary;collide;;сталкиваться, соударяться;molecules collide — молекулы соударяются;28.11.2015
Dictionary;combination;;соединение, сочетание, комбинация;The combination is a five piece one, comprising piano, saxophone, trumpet, banjo and drums. — Группа - это единое целое, включающая фортепиано, саксофон, трубу, банджо и барабан.;28.11.2015
Dictionary;combine;;с.-х. комбайн, соединяться, объединять(ся);to combine forces (efforts) — объединить силы (усилия);28.11.2015
Dictionary;come off;;покидать, уходить, удаляться;Come off with me and have some coffee, I'm tired of listening to this speech. — Пошли попьем кофе, я устал слушать эту речь.;28.11.2015
Dictionary;come up against;;сталкиваться, встречаться (с трудностями, проблемами и т. п.);;28.11.2015
Dictionary;commemorate;;ссылаться, упоминать, напоминать, служить напоминанием;;28.11.2015
Dictionary;commerce;;(оптовая) торговля, коммерция;Chamber of Commerce — Торговая палата;28.11.2015
Dictionary;commercial;;коммерческий, торговый, занимающийся торговлей;commercial cargo — коммерческий груз;28.11.2015
Dictionary;common;;общий, всеобщий;Both that which is general or common, and that also which is peculiar unto itself. — То, что является общим, а также и то, что является специфичным.;28.11.2015
Dictionary;community;;общность;community of acquests — общность приобретенного имущества, общность доходов;28.11.2015
Dictionary;commute;;(о жителе пригорода) ездить на работу в город;My father used to commute between his home in the country and his office in the city. — Мой отец жил в пригороде в собственном доме и каждый день ездил в город на работу.;28.11.2015
Dictionary;comparison;;сличение, сопоставление, сравнение;there is no comparison between them — невозможно их сравнивать;28.11.2015
Dictionary;compete;;состязаться, соперничать, конкурировать;Runners from many countries are competing for the international prize. — Бегуны из разных стран будут соперничать за получение приза.;28.11.2015
Dictionary;competent;;соответствующий, подходящий;a competent engineer — квалифицированный инженер;28.11.2015
Dictionary;competitor;;конкурент, противник, соперник;;28.11.2015
Dictionary;complain;;жаловаться (на что-л.), выражать недовольство (чем-л.);Jane is complaining of a headache again. — Джейн снова жалуется на головную боль.;28.11.2015
Dictionary;complementary;;добавочный, дополнительный;;28.11.2015
Dictionary;complex;;множество, система, совокупность, комплекс, группа;a complex of hospital buildings — система корпусов больницы, больничный комплекс;28.11.2015
Dictionary;complicate;;затруднять, осложнять, усложнять;;28.11.2015
Dictionary;complicated;;запутанный, замысловатый, усложненный, трудный для понимания;This case is more complicated. — Этот случай более запутанный.;28.11.2015
Dictionary;compositive;;искусственный, синтетический;;28.11.2015
Dictionary;compound;;строение, структура, целостное образование, смесь;Proteins are by far the most complex chemical compounds. — Белки, по всей видимости, являются самыми сложными химическими соединениями.;28.11.2015
Dictionary;comprise;;включать, заключать в себе, содержать;About 7 percent of American military forces are comprised of women. — Около семи процентов личного состава американских вооруженных сил составляют женщины.;28.11.2015
Dictionary;conceal;;скрывать, утаивать, умалчивать;You cannot conceal your guilt from the police. — Тебе не удастся убедить полицию, что ты невиновен (букв. Ты не можешь скрыть свою вину от полиции).;28.11.2015
Dictionary;concentrate;;концентрат, сосредоточивать(ся), фокусировать(ся);When the enemy's ships are all concentrated at the entrance to the harbour, it must mean trouble. — Ну, если перед входом в гавань сосредоточены весь вражеский флот, то наверное нам угрожает опасность.;28.11.2015
Dictionary;concept;;понятие, идея, общее представление, концепция;life-style concept — амер., эк. концепция образа жизни;28.11.2015
Dictionary;conclude;;завершить, закончить;conclude an agreement — заключать договор / соглашение;28.11.2015
Dictionary;conduct;;руководство, управление, воен. командование;good conduct — послушание, хорошее поведение;28.11.2015
Dictionary;confidential;;частный, личный;with low and confidential tone — низким, доверительным голосом;28.11.2015
Dictionary;confidentially;;по секрету, конфиденциально;;28.11.2015
Dictionary;confirm;;подтверждать, подкреплять;to confirm smb. in his decision — поддержать кого-л. в его решении;28.11.2015
Dictionary;conjunction;;связывание, сцепление, соединение;;28.11.2015
Dictionary;connectivity;;подключаемость, соединяемость, способность к подключению;;28.11.2015
Dictionary;consent;;согласие, соглашаться, давать согласие, одобрить;consent to — согласие на;28.11.2015
Dictionary;consequence;;(по)следствие, результат (чего-либо);to take, accept, bear, face, suffer the consequences of — отвечать, нести ответственность за последствия;28.11.2015
Dictionary;consequently;[ˈkɔn(t)sɪkwəntlɪ];следовательно, поэтому, в результате, вследствие,следовательно, поэтому, в результате, вследствие;The warming of the Earth and the consequent climatic changes affect us all. — Глобальное потепление и вызванные им климатические изменения затрагивают всех нас.;28.11.2015
Dictionary;consider;;рассматривать, обсуждать;We considered him as a possible candidate. — Мы рассматривали его как возможного кандидата.;28.11.2015
Dictionary;considerable;;достойный, почитаемый, уважаемый (о человеке);considerable man — человек, пользующийся уважением;28.11.2015
Dictionary;considerably;;значительно, много;The period is considerably earlier. — Это период значительно более ранний.;28.11.2015
Dictionary;considered;;обоснованный, продуманный;;28.11.2015
Dictionary;consignment;;партия отправленного / прибывшего товара, груз;to sell on consignment — продавать по накладным;28.11.2015
Dictionary;consist;;(consist in) заключаться (в чем-л.);The beauty of this picture consists in its balance of colours. — Красота этой картины заключается в удивительной сбалансированности цветовой гаммы.;28.11.2015
Dictionary;consolidate;;объединять;to consolidate several small school districts — объединить несколько маленьких школьных участков;28.11.2015
Dictionary;constrain;;заставлять, принуждать, обязывать;to constrain smb. to do smth. — принуждать кого-л. делать что-л., заставлять кого-л. делать что-л.;28.11.2015
Dictionary;consumer;;потребитель;;28.11.2015
Dictionary;consumption;;потребление, затрата, издержки, расход;;28.11.2015
Dictionary;contaminate;[kənˈtæmɪneɪt];пачкать, загрязнять, марать, портить, отравлять прям. и перен.;All evils here contaminate the mind. — Здесь все пороки отравляют разум.;28.11.2015
Dictionary;contaminated;;заражённый, загрязнённый;;28.11.2015
Dictionary;contemporaneously;;в одно время, одновременно;;28.11.2015
Dictionary;contest;;дискуссия, прения, спор, острая полемика, словесная война;enter a contest — вступить в спор, вступить в дискуссию;28.11.2015
Dictionary;continuously;;постоянно, непрерывно, неизменно;;28.11.2015
Dictionary;contract;;контракт, договор, соглашение;Society is indeed a contract. — Общество - это в самом деле своего рода соглашение.;28.11.2015
Dictionary;contraction;;заключение контракта, заключение брачного контракта;This affair had let to the contraction of an immense debt. — Это дело привело к возникновению огромного долга.;28.11.2015
Dictionary;contradiction;;противоречие, несоответствие, конфликт, коллизия;proof by contradiction — доказательство от противного;28.11.2015
Dictionary;contribute;;делать пожертвования, взносы;to contribute to charity — делать благотворительные пожертвования;28.11.2015
Dictionary;controversy;;дебаты, дискуссия, полемика, прения, спор;to enter into controversy — полемизировать, вступать в полемику;28.11.2015
Dictionary;conversely;;обратно, вспять, назад, наоборот;;28.11.2015
Dictionary;convince;;убеждать, уверять (в чем-л.);We were able to convince the students of the need for wider reading. — Нам удалось убедить студентов в необходимости привлекать больше литературы.;28.11.2015
Dictionary;convincing;;убедительный;;28.11.2015
Dictionary;correction;;исправление, корректирование, внесение поправок;correction of the press — исправление опечаток;28.11.2015
Dictionary;correctness;;корректность, правильность;;28.11.2015
Dictionary;correspondence;;соответствие;In African languages there is a close correspondence between sounds and letters. — В африканских языках существует непосредственное соответствие между звуками и буквами.;28.11.2015
Dictionary;corrosive;;едкий, разъедающий, коррозийный;;28.11.2015
Dictionary;cosmopolitan;;космополит;;28.11.2015
Dictionary;counsel;;обсуждение, рассмотрение, консультация;She counselled with her husband. — Она посоветовалась со своим мужем.;28.11.2015
Dictionary;countless;;бессчетный, бесчисленный, многочисленный, неисчислимый, несчетный;;28.11.2015
Dictionary;coverage;;сфера действия, рамки, границы, масштаб;saturation coverage — амер. полный охват события;28.11.2015
Dictionary;creativity;;общ. творчество (процесс);Too many rules might deaden creativity. — Слишком большое количество правил может погубить креативность.;28.11.2015
Dictionary;credibility;;вероятность, возможность, правдоподобие;Christianity rests on the credibility of the Gospel history. — Христианство опирается на веру в правдивость евангельских историй.;28.11.2015
Dictionary;crime;;преступление, злодеяние, нарушение, правонарушение;to commit a crime — совершить преступление;28.11.2015
Dictionary;criminal;;преступный, криминальный, уголовный;;28.11.2015
Dictionary;crisis;;кризис, поворотный пункт, перелом;to avert crisis — предотвратить кризис;28.11.2015
Dictionary;criticism;[ˈkrɪtɪsɪz(ə)m];критика (определение достоинств и недостатков, неблагоприятная оценка, нападки);;28.11.2015
Dictionary;criticize;;критиковать, выступать в роли критика;to criticize the rights of kings — осуждать права королей;28.11.2015
Dictionary;cruelty;;жестокость, зверство, безжалостность, бессердечие, бездушие;;28.11.2015
Dictionary;cure;;забота, попечение (о пастве);to take the cure for alcoholism — пройти курс лечения от алгоголизма;28.11.2015
Dictionary;curiosity;;любознательность;nor had you any curiosity to know other states or their laws — у тебя также нет никакого желания узнать о других странах и их законах;28.11.2015
Dictionary;currently;;теперь, в настоящее время, ныне;it is currently reported that — сообщается, что;28.11.2015
Dictionary;deal;;вести дело, рассматривать вопрос, решать задачу, принимать меры, бороться;I have a deal to look after. — Мне за стольким надо смотреть.;28.11.2015
Dictionary;debate;;дебаты, дискуссия, обсуждение, прения;a debate about, with — дискуссия по вопросу / о / на тему;28.11.2015
Dictionary;decimal;;десятичный;decimal numeration — десятичная система счисления;28.11.2015
Dictionary;decision;;решение (сделать что-л.), урегулирование;a decision about, a decision on — решение о;28.11.2015
Dictionary;decisive;;решающий, имеющий решающее значение;a decisive superiority over the rivals — убедительное превосходство над соперниками;28.11.2015
Dictionary;decline;;падение, спад, упадок, конец, закат прям. и перен.;History of the decline and fall of the Roman Empire. — История упадка и гибели Римской империи.;28.11.2015
Dictionary;decorate;;украшать, отделывать;At Christmas we decorate the living rooms with coloured paper and lights. — На Рождество мы украшаем гостиную цветной бумагой и фонариками.;28.11.2015
Dictionary;defeat;;проигрыш (в соревновании), поражение, разгром (в военной баталии);a crushing defeat, decisive defeat, resounding defeat, total defeat, utter defeat — сокрушительное поражение;28.11.2015
Dictionary;defend;;защищать(ся), стоять на страже, ограждать (от чего-л.);The army prepared to defend the nation against attack by the enemy. — Армия приготовилась защищать страну от нападения врага.;28.11.2015
